method,trial,generation,ptevals,behavioral_diversity,error_vector_diversity
Div90-Run0-lexicase,0,0,0,1.000,0.909
Div90-Run0-lexicase,0,1,39360983,0.917,0.909
Div90-Run0-lexicase,0,2,79364567,0.913,0.905
Div90-Run0-lexicase,0,3,117162569,0.924,0.917
Div90-Run0-lexicase,0,4,154510381,0.906,0.899
Div90-Run0-lexicase,0,5,191815328,0.925,0.919
Div90-Run0-lexicase,0,6,232244032,0.931,0.922
Div90-Run0-lexicase,0,7,273668369,0.923,0.915
Div90-Run0-lexicase,0,8,311951403,0.901,0.896
Div90-Run0-lexicase,0,9,348418411,0.912,0.905
Div90-Run0-lexicase,0,10,386019582,0.917,0.909
Div90-Run0-lexicase,0,11,426749999,0.912,0.908
Div90-Run0-lexicase,0,12,466669478,0.903,0.892
Div90-Run0-lexicase,0,13,505141388,0.904,0.899
Div90-Run0-lexicase,0,14,544169504,0.895,0.885
Div90-Run0-lexicase,0,15,582644259,0.864,0.855
Div90-Run0-lexicase,0,16,620754176,0.890,0.883
Div90-Run0-lexicase,0,17,662038159,0.891,0.885
Div90-Run0-lexicase,0,18,700216513,0.882,0.871
Div90-Run0-lexicase,0,19,740449096,0.860,0.853
Div90-Run0-lexicase,0,20,779926061,0.890,0.881
Div90-Run0-lexicase,1,0,0,1.000,0.909
Div90-Run0-lexicase,1,1,40190113,0.914,0.903
Div90-Run0-lexicase,1,2,81681790,0.926,0.915
Div90-Run0-lexicase,1,3,121571225,0.906,0.896
Div90-Run0-lexicase,1,4,161669239,0.926,0.915
Div90-Run0-lexicase,1,5,201422851,0.919,0.908
Div90-Run0-lexicase,1,6,239944749,0.913,0.908
Div90-Run0-lexicase,1,7,279711119,0.931,0.927
Div90-Run0-lexicase,1,8,320816761,0.923,0.912
Div90-Run0-lexicase,1,9,363266695,0.929,0.919
Div90-Run0-lexicase,1,10,402944729,0.899,0.891
Div90-Run0-lexicase,1,11,443047161,0.915,0.908
Div90-Run0-lexicase,1,12,484678481,0.913,0.906
Div90-Run0-lexicase,1,13,527980791,0.896,0.890
Div90-Run0-lexicase,1,14,568952720,0.919,0.912
Div90-Run0-lexicase,1,15,612334981,0.904,0.897
Div90-Run0-lexicase,1,16,651505529,0.908,0.903
Div90-Run0-lexicase,1,17,689749500,0.904,0.902
Div90-Run0-lexicase,1,18,726787776,0.905,0.898
Div90-Run0-lexicase,1,19,763059168,0.871,0.869
Div90-Run0-lexicase,1,20,797169967,0.868,0.866
Div90-Run0-lexicase,2,0,0,1.000,0.909
Div90-Run0-lexicase,2,1,41116824,0.906,0.892
Div90-Run0-lexicase,2,2,83445082,0.919,0.909
Div90-Run0-lexicase,2,3,126573444,0.897,0.885
Div90-Run0-lexicase,2,4,168281902,0.902,0.894
Div90-Run0-lexicase,2,5,208878983,0.900,0.887
Div90-Run0-lexicase,2,6,247876722,0.911,0.901
Div90-Run0-lexicase,2,7,289356018,0.928,0.918
Div90-Run0-lexicase,2,8,330073624,0.921,0.915
Div90-Run0-lexicase,2,9,370157203,0.908,0.905
Div90-Run0-lexicase,2,10,411619296,0.915,0.908
Div90-Run0-lexicase,2,11,452743705,0.931,0.921
Div90-Run0-lexicase,2,12,492083786,0.935,0.928
Div90-Run0-lexicase,2,13,530939858,0.911,0.909
Div90-Run0-lexicase,2,14,569467695,0.925,0.920
Div90-Run0-lexicase,2,15,608700790,0.921,0.913
Div90-Run0-lexicase,2,16,647692784,0.906,0.897
Div90-Run0-lexicase,2,17,685218104,0.918,0.912
Div90-Run0-lexicase,2,18,723884727,0.920,0.914
Div90-Run0-lexicase,2,19,763324795,0.928,0.926
Div90-Run0-lexicase,2,20,804056751,0.920,0.914
Div90-Run0-lexicase,3,0,0,1.000,0.909
Div90-Run0-lexicase,3,1,38971056,0.928,0.917
Div90-Run0-lexicase,3,2,78191133,0.919,0.908
Div90-Run0-lexicase,3,3,117277538,0.932,0.922
Div90-Run0-lexicase,3,4,155283909,0.906,0.899
Div90-Run0-lexicase,3,5,194283409,0.910,0.900
Div90-Run0-lexicase,3,6,234719718,0.926,0.922
Div90-Run0-lexicase,3,7,275195796,0.937,0.931
Div90-Run0-lexicase,3,8,314739653,0.914,0.908
Div90-Run0-lexicase,3,9,353359397,0.927,0.916
