method,trial,generation,ptevals,behavioral_diversity,error_vector_diversity
Div15-Run1-lexicase,0,0,0,1.000,0.086
Div15-Run1-lexicase,0,1,10355667,0.212,0.208
Div15-Run1-lexicase,0,2,20380859,0.300,0.298
Div15-Run1-lexicase,0,3,31195317,0.387,0.380
Div15-Run1-lexicase,0,4,40528980,0.371,0.364
Div15-Run1-lexicase,0,5,51093418,0.431,0.422
Div15-Run1-lexicase,0,6,61093346,0.455,0.448
Div15-Run1-lexicase,0,7,72020406,0.483,0.479
Div15-Run1-lexicase,0,8,84169435,0.504,0.499
Div15-Run1-lexicase,0,9,95452619,0.514,0.510
Div15-Run1-lexicase,0,10,106790631,0.544,0.538
Div15-Run1-lexicase,0,11,117723669,0.549,0.544
Div15-Run1-lexicase,0,12,129306357,0.579,0.569
Div15-Run1-lexicase,0,13,141744093,0.595,0.591
Div15-Run1-lexicase,0,14,153475565,0.576,0.569
Div15-Run1-lexicase,0,15,165054145,0.598,0.593
Div15-Run1-lexicase,0,16,177129210,0.626,0.618
Div15-Run1-lexicase,0,17,189037746,0.584,0.576
Div15-Run1-lexicase,0,18,201355939,0.604,0.602
Div15-Run1-lexicase,0,19,213560165,0.608,0.600
Div15-Run1-lexicase,0,20,225477379,0.606,0.604
Div15-Run1-lexicase,1,0,0,1.000,0.086
Div15-Run1-lexicase,1,1,10315438,0.226,0.223
Div15-Run1-lexicase,1,2,20971523,0.295,0.291
Div15-Run1-lexicase,1,3,34260553,0.398,0.392
Div15-Run1-lexicase,1,4,47753518,0.449,0.439
Div15-Run1-lexicase,1,5,62934182,0.507,0.502
Div15-Run1-lexicase,1,6,83659805,0.574,0.569
Div15-Run1-lexicase,1,7,104514014,0.575,0.568
Div15-Run1-lexicase,1,8,123147865,0.619,0.615
Div15-Run1-lexicase,1,9,142021345,0.603,0.600
Div15-Run1-lexicase,1,10,161088831,0.596,0.591
Div15-Run1-lexicase,1,11,181811355,0.598,0.596
Div15-Run1-lexicase,1,12,203107596,0.618,0.614
Div15-Run1-lexicase,1,13,222898224,0.643,0.640
Div15-Run1-lexicase,1,14,243085055,0.671,0.668
Div15-Run1-lexicase,1,15,261385949,0.686,0.683
Div15-Run1-lexicase,1,16,280969266,0.685,0.680
Div15-Run1-lexicase,1,17,300204511,0.708,0.702
Div15-Run1-lexicase,1,18,319884273,0.722,0.714
Div15-Run1-lexicase,1,19,338728919,0.726,0.722
Div15-Run1-lexicase,1,20,356251205,0.710,0.705
Div15-Run1-lexicase,2,0,0,1.000,0.086
Div15-Run1-lexicase,2,1,11220587,0.202,0.200
Div15-Run1-lexicase,2,2,24943757,0.353,0.350
Div15-Run1-lexicase,2,3,39951236,0.456,0.451
Div15-Run1-lexicase,2,4,55755207,0.493,0.483
Div15-Run1-lexicase,2,5,71137665,0.545,0.539
Div15-Run1-lexicase,2,6,86691185,0.548,0.543
Div15-Run1-lexicase,2,7,101413657,0.551,0.549
Div15-Run1-lexicase,2,8,115002943,0.557,0.551
Div15-Run1-lexicase,2,9,127299247,0.556,0.550
Div15-Run1-lexicase,2,10,139845902,0.542,0.532
Div15-Run1-lexicase,2,11,151380567,0.541,0.535
Div15-Run1-lexicase,2,12,162212547,0.581,0.574
Div15-Run1-lexicase,2,13,173518845,0.582,0.576
Div15-Run1-lexicase,2,14,184871600,0.607,0.602
Div15-Run1-lexicase,2,15,196586890,0.605,0.596
Div15-Run1-lexicase,2,16,208125225,0.621,0.618
Div15-Run1-lexicase,2,17,220494772,0.619,0.612
Div15-Run1-lexicase,2,18,232215943,0.639,0.634
Div15-Run1-lexicase,2,19,243922847,0.629,0.622
Div15-Run1-lexicase,2,20,257016946,0.606,0.600
Div15-Run1-lexicase,3,0,0,1.000,0.086
Div15-Run1-lexicase,3,1,10779035,0.193,0.191
Div15-Run1-lexicase,3,2,21053162,0.263,0.259
Div15-Run1-lexicase,3,3,31991960,0.327,0.323
Div15-Run1-lexicase,3,4,43383529,0.380,0.375
Div15-Run1-lexicase,3,5,54503969,0.446,0.437
Div15-Run1-lexicase,3,6,66347039,0.485,0.483
Div15-Run1-lexicase,3,7,80309462,0.496,0.493
Div15-Run1-lexicase,3,8,93932543,0.543,0.537
Div15-Run1-lexicase,3,9,107744182,0.555,0.547
Div15-Run1-lexicase,3,10,122183081,0.598,0.589
Div15-Run1-lexicase,3,11,136937428,0.616,0.610
Div15-Run1-lexicase,3,12,151828785,0.618,0.616
Div15-Run1-lexicase,3,13,165832059,0.675,0.671
Div15-Run1-lexicase,3,14,181161345,0.688,0.681
Div15-Run1-lexicase,3,15,196110972,0.708,0.700
Div15-Run1-lexicase,3,16,212160886,0.706,0.698
Div15-Run1-lexicase,3,17,228501636,0.692,0.687
Div15-Run1-lexicase,3,18,244251418,0.713,0.709
Div15-Run1-lexicase,3,19,260603042,0.716,0.706
Div15-Run1-lexicase,3,20,277001596,0.762,0.749
Div15-Run1-lexicase,4,0,0,1.000,0.086
Div15-Run1-lexicase,4,1,11518575,0.211,0.208
Div15-Run1-lexicase,4,2,23427672,0.291,0.290
Div15-Run1-lexicase,4,3,36420816,0.365,0.363
Div15-Run1-lexicase,4,4,50686343,0.416,0.415
Div15-Run1-lexicase,4,5,64529151,0.484,0.479
Div15-Run1-lexicase,4,6,77093024,0.534,0.532
Div15-Run1-lexicase,4,7,88261905,0.587,0.585
Div15-Run1-lexicase,4,8,98884030,0.579,0.575
Div15-Run1-lexicase,4,9,108431365,0.549,0.547
Div15-Run1-lexicase,4,10,118330357,0.570,0.567
Div15-Run1-lexicase,4,11,128454153,0.573,0.569
Div15-Run1-lexicase,4,12,139130253,0.570,0.565
Div15-Run1-lexicase,4,13,148728558,0.572,0.570
Div15-Run1-lexicase,4,14,158997807,0.558,0.556
Div15-Run1-lexicase,4,15,170656564,0.585,0.582
Div15-Run1-lexicase,4,16,183058352,0.582,0.579
Div15-Run1-lexicase,4,17,194651555,0.567,0.563
Div15-Run1-lexicase,4,18,207413705,0.592,0.589
Div15-Run1-lexicase,4,19,220698936,0.593,0.587
Div15-Run1-lexicase,4,20,232455031,0.602,0.597
Div15-Run1-lexicase,5,0,0,1.000,0.086
Div15-Run1-lexicase,5,1,10085316,0.202,0.201
Div15-Run1-lexicase,5,2,21935116,0.283,0.282
Div15-Run1-lexicase,5,3,36007155,0.367,0.363
Div15-Run1-lexicase,5,4,51517846,0.382,0.377
Div15-Run1-lexicase,5,5,65789097,0.401,0.398
Div15-Run1-lexicase,5,6,82271966,0.463,0.460
Div15-Run1-lexicase,5,7,98934106,0.493,0.486
Div15-Run1-lexicase,5,8,115543741,0.545,0.540
Div15-Run1-lexicase,5,9,131874176,0.575,0.569
Div15-Run1-lexicase,5,10,150981441,0.619,0.616
Div15-Run1-lexicase,5,11,168636375,0.649,0.646
Div15-Run1-lexicase,5,12,186836519,0.647,0.642
Div15-Run1-lexicase,5,13,204898959,0.633,0.632
Div15-Run1-lexicase,5,14,223440920,0.667,0.659
Div15-Run1-lexicase,5,15,243627794,0.668,0.662
Div15-Run1-lexicase,5,16,262811529,0.673,0.670
Div15-Run1-lexicase,5,17,283356798,0.665,0.664
Div15-Run1-lexicase,5,18,302209935,0.690,0.687
Div15-Run1-lexicase,5,19,322196613,0.702,0.699
Div15-Run1-lexicase,5,20,343024212,0.681,0.677
Div15-Run1-lexicase,6,0,0,1.000,0.086
Div15-Run1-lexicase,6,1,10252454,0.204,0.202
Div15-Run1-lexicase,6,2,19976710,0.259,0.258
Div15-Run1-lexicase,6,3,30577291,0.340,0.336
Div15-Run1-lexicase,6,4,41623342,0.400,0.394
Div15-Run1-lexicase,6,5,52044719,0.458,0.456
Div15-Run1-lexicase,6,6,63723573,0.494,0.491
Div15-Run1-lexicase,6,7,75426662,0.549,0.547
Div15-Run1-lexicase,6,8,86292133,0.548,0.541
Div15-Run1-lexicase,6,9,96519900,0.505,0.492
Div15-Run1-lexicase,6,10,107136163,0.492,0.485
Div15-Run1-lexicase,6,11,117788144,0.475,0.470
Div15-Run1-lexicase,6,12,128779897,0.478,0.471
Div15-Run1-lexicase,6,13,139660843,0.507,0.503
Div15-Run1-lexicase,6,14,150482406,0.489,0.481
Div15-Run1-lexicase,6,15,161820855,0.540,0.532
Div15-Run1-lexicase,6,16,172839206,0.548,0.546
Div15-Run1-lexicase,6,17,183906276,0.540,0.532
Div15-Run1-lexicase,6,18,195781040,0.573,0.565
Div15-Run1-lexicase,6,19,208207319,0.567,0.561
Div15-Run1-lexicase,6,20,220021985,0.578,0.573
Div15-Run1-lexicase,7,0,0,1.000,0.086
Div15-Run1-lexicase,7,1,10387427,0.190,0.189
Div15-Run1-lexicase,7,2,20506892,0.264,0.262
Div15-Run1-lexicase,7,3,31933494,0.330,0.326
Div15-Run1-lexicase,7,4,43492484,0.434,0.433
Div15-Run1-lexicase,7,5,56694618,0.481,0.474
Div15-Run1-lexicase,7,6,68718647,0.537,0.533
Div15-Run1-lexicase,7,7,81773452,0.581,0.577
Div15-Run1-lexicase,7,8,95917719,0.654,0.649
Div15-Run1-lexicase,7,9,110815396,0.679,0.675
Div15-Run1-lexicase,7,10,125301964,0.686,0.684
Div15-Run1-lexicase,7,11,141275997,0.712,0.707
Div15-Run1-lexicase,7,12,157546017,0.726,0.723
Div15-Run1-lexicase,7,13,176026016,0.744,0.741
Div15-Run1-lexicase,7,14,193783134,0.706,0.702
Div15-Run1-lexicase,7,15,212112735,0.712,0.709
Div15-Run1-lexicase,7,16,231816436,0.751,0.750
Div15-Run1-lexicase,7,17,251193467,0.797,0.793
Div15-Run1-lexicase,7,18,271216193,0.769,0.766
Div15-Run1-lexicase,7,19,292227865,0.770,0.765
Div15-Run1-lexicase,7,20,314291315,0.768,0.762
Div15-Run1-lexicase,8,0,0,1.000,0.086
Div15-Run1-lexicase,8,1,10826890,0.191,0.190
Div15-Run1-lexicase,8,2,21536620,0.315,0.314
Div15-Run1-lexicase,8,3,34115729,0.396,0.393
Div15-Run1-lexicase,8,4,47183739,0.383,0.377
Div15-Run1-lexicase,8,5,59705983,0.414,0.408
Div15-Run1-lexicase,8,6,74056622,0.480,0.475
Div15-Run1-lexicase,8,7,91161629,0.527,0.525
Div15-Run1-lexicase,8,8,107780653,0.559,0.555
Div15-Run1-lexicase,8,9,125993620,0.630,0.625
Div15-Run1-lexicase,8,10,144522168,0.649,0.645
Div15-Run1-lexicase,8,11,164128100,0.652,0.648
Div15-Run1-lexicase,8,12,184086035,0.658,0.654
Div15-Run1-lexicase,8,13,204509276,0.683,0.679
Div15-Run1-lexicase,8,14,226044578,0.687,0.681
Div15-Run1-lexicase,8,15,247206794,0.692,0.685
Div15-Run1-lexicase,8,16,266427348,0.690,0.687
Div15-Run1-lexicase,8,17,286330357,0.700,0.693
Div15-Run1-lexicase,8,18,306893127,0.725,0.723
Div15-Run1-lexicase,8,19,326657333,0.708,0.700
Div15-Run1-lexicase,8,20,345691918,0.725,0.725
Div15-Run1-lexicase,9,0,0,1.000,0.086
Div15-Run1-lexicase,9,1,9835379,0.187,0.186
Div15-Run1-lexicase,9,2,20502808,0.306,0.305
Div15-Run1-lexicase,9,3,31137407,0.413,0.409
Div15-Run1-lexicase,9,4,43753262,0.523,0.516
Div15-Run1-lexicase,9,5,57987289,0.555,0.541
Div15-Run1-lexicase,9,6,73970543,0.541,0.533
Div15-Run1-lexicase,9,7,89495086,0.557,0.546
Div15-Run1-lexicase,9,8,105600814,0.573,0.569
Div15-Run1-lexicase,9,9,123478705,0.589,0.581
Div15-Run1-lexicase,9,10,141253466,0.592,0.582
Div15-Run1-lexicase,9,11,159209949,0.585,0.576
Div15-Run1-lexicase,9,12,180800017,0.613,0.606
Div15-Run1-lexicase,9,13,203853864,0.596,0.587
Div15-Run1-lexicase,9,14,226103700,0.634,0.623
Div15-Run1-lexicase,9,15,248025270,0.633,0.627
Div15-Run1-lexicase,9,16,269289171,0.648,0.640
Div15-Run1-lexicase,9,17,292564885,0.648,0.641
Div15-Run1-lexicase,9,18,315712067,0.629,0.621
Div15-Run1-lexicase,9,19,340650421,0.640,0.631
Div15-Run1-lexicase,9,20,366337854,0.616,0.606
Div15-Run1-lexicase,10,0,0,1.000,0.086
Div15-Run1-lexicase,10,1,11138660,0.195,0.193
