method,trial,generation,ptevals,behavioral_diversity,error_vector_diversity
Drop25-Run21-lexicase,0,0,0,1.000,0.321
Drop25-Run21-lexicase,0,1,99720923,0.304,0.291
Drop25-Run21-lexicase,0,2,188346266,0.239,0.232
Drop25-Run21-lexicase,0,3,280413167,0.291,0.285
Drop25-Run21-lexicase,0,4,370955727,0.305,0.294
Drop25-Run21-lexicase,0,5,462530651,0.299,0.294
Drop25-Run21-lexicase,0,6,554146069,0.343,0.335
Drop25-Run21-lexicase,0,7,647396536,0.330,0.326
Drop25-Run21-lexicase,0,8,742303209,0.371,0.359
Drop25-Run21-lexicase,0,9,836930317,0.375,0.369
Drop25-Run21-lexicase,0,10,930346307,0.387,0.377
Drop25-Run21-lexicase,0,11,1024079671,0.410,0.403
Drop25-Run21-lexicase,0,12,1118755625,0.429,0.422
Drop25-Run21-lexicase,0,13,1212005129,0.451,0.434
Drop25-Run21-lexicase,0,14,1304719553,0.436,0.427
Drop25-Run21-lexicase,0,15,1400076794,0.471,0.462
Drop25-Run21-lexicase,0,16,1495283533,0.457,0.446
Drop25-Run21-lexicase,0,17,1590116886,0.456,0.448
Drop25-Run21-lexicase,0,18,1685519275,0.491,0.481
Drop25-Run21-lexicase,0,19,1780122815,0.453,0.448
Drop25-Run21-lexicase,0,20,1873850107,0.430,0.424
Drop25-Run21-lexicase,1,0,0,1.000,0.321
Drop25-Run21-lexicase,1,1,101791502,0.315,0.296
Drop25-Run21-lexicase,1,2,198820704,0.294,0.275
Drop25-Run21-lexicase,1,3,295025212,0.256,0.251
Drop25-Run21-lexicase,1,4,391615067,0.354,0.341
Drop25-Run21-lexicase,1,5,490627993,0.373,0.363
Drop25-Run21-lexicase,1,6,590224286,0.390,0.376
Drop25-Run21-lexicase,1,7,688915252,0.437,0.425
Drop25-Run21-lexicase,1,8,788632809,0.427,0.415
Drop25-Run21-lexicase,1,9,885966807,0.452,0.435
Drop25-Run21-lexicase,1,10,985143078,0.440,0.422
Drop25-Run21-lexicase,1,11,1083343963,0.451,0.427
Drop25-Run21-lexicase,1,12,1180657521,0.481,0.464
Drop25-Run21-lexicase,1,13,1278418663,0.462,0.449
Drop25-Run21-lexicase,1,14,1375834003,0.487,0.462
Drop25-Run21-lexicase,1,15,1471711853,0.518,0.495
Drop25-Run21-lexicase,1,16,1567732395,0.514,0.490
Drop25-Run21-lexicase,1,17,1663648471,0.504,0.480
Drop25-Run21-lexicase,1,18,1760264208,0.541,0.515
Drop25-Run21-lexicase,1,19,1855223305,0.511,0.486
Drop25-Run21-lexicase,1,20,1952105975,0.541,0.518
Drop25-Run21-lexicase,2,0,0,1.000,0.321
Drop25-Run21-lexicase,2,1,100650351,0.310,0.287
Drop25-Run21-lexicase,2,2,202118308,0.354,0.334
Drop25-Run21-lexicase,2,3,302452651,0.348,0.331
Drop25-Run21-lexicase,2,4,407498690,0.383,0.368
Drop25-Run21-lexicase,2,5,514097059,0.436,0.412
Drop25-Run21-lexicase,2,6,622481247,0.448,0.420
Drop25-Run21-lexicase,2,7,732657640,0.461,0.433
Drop25-Run21-lexicase,2,8,839669080,0.486,0.451
Drop25-Run21-lexicase,2,9,950628240,0.470,0.442
Drop25-Run21-lexicase,2,10,1058440869,0.450,0.424
Drop25-Run21-lexicase,2,11,1169227373,0.514,0.474
Drop25-Run21-lexicase,2,12,1279428542,0.500,0.467
Drop25-Run21-lexicase,2,13,1390160294,0.499,0.473
Drop25-Run21-lexicase,2,14,1500509237,0.487,0.465
Drop25-Run21-lexicase,2,15,1609224502,0.505,0.481
Drop25-Run21-lexicase,2,16,1717861771,0.548,0.519
Drop25-Run21-lexicase,2,17,1825827155,0.563,0.534
Drop25-Run21-lexicase,2,18,1934740996,0.576,0.549
Drop25-Run21-lexicase,2,19,2039381169,0.583,0.553
Drop25-Run21-lexicase,2,20,2146643586,0.590,0.563
Drop25-Run21-lexicase,3,0,0,1.000,0.321
Drop25-Run21-lexicase,3,1,99807655,0.307,0.284
Drop25-Run21-lexicase,3,2,195636888,0.264,0.251
Drop25-Run21-lexicase,3,3,291930298,0.262,0.255
Drop25-Run21-lexicase,3,4,386952940,0.263,0.251
Drop25-Run21-lexicase,3,5,483123566,0.302,0.295
Drop25-Run21-lexicase,3,6,578746734,0.295,0.287
Drop25-Run21-lexicase,3,7,672723658,0.264,0.256
Drop25-Run21-lexicase,3,8,764301678,0.285,0.276
Drop25-Run21-lexicase,3,9,857032811,0.283,0.274
Drop25-Run21-lexicase,3,10,949279589,0.303,0.295
Drop25-Run21-lexicase,3,11,1042330534,0.355,0.346
Drop25-Run21-lexicase,3,12,1134743457,0.368,0.357
Drop25-Run21-lexicase,3,13,1225981787,0.394,0.383
Drop25-Run21-lexicase,3,14,1318893767,0.472,0.459
Drop25-Run21-lexicase,3,15,1415400669,0.505,0.489
Drop25-Run21-lexicase,3,16,1509952706,0.509,0.480
Drop25-Run21-lexicase,3,17,1604753417,0.505,0.468
Drop25-Run21-lexicase,3,18,1699582403,0.499,0.466
Drop25-Run21-lexicase,3,19,1795522908,0.520,0.497
Drop25-Run21-lexicase,3,20,1888952908,0.514,0.487
Drop25-Run21-lexicase,4,0,0,1.000,0.321
Drop25-Run21-lexicase,4,1,99744623,0.313,0.294
Drop25-Run21-lexicase,4,2,195310781,0.259,0.248
Drop25-Run21-lexicase,4,3,293064609,0.260,0.248
Drop25-Run21-lexicase,4,4,390366978,0.269,0.259
Drop25-Run21-lexicase,4,5,488780155,0.333,0.318
Drop25-Run21-lexicase,4,6,589462766,0.361,0.352
Drop25-Run21-lexicase,4,7,689286489,0.362,0.350
Drop25-Run21-lexicase,4,8,789915125,0.373,0.367
Drop25-Run21-lexicase,4,9,890914615,0.432,0.427
Drop25-Run21-lexicase,4,10,992351808,0.410,0.404
Drop25-Run21-lexicase,4,11,1094911161,0.415,0.403
Drop25-Run21-lexicase,4,12,1197219305,0.413,0.407
Drop25-Run21-lexicase,4,13,1298137672,0.404,0.393
Drop25-Run21-lexicase,4,14,1399967585,0.462,0.452
Drop25-Run21-lexicase,4,15,1502387793,0.511,0.494
Drop25-Run21-lexicase,4,16,1603286609,0.488,0.474
Drop25-Run21-lexicase,4,17,1704586852,0.516,0.509
Drop25-Run21-lexicase,4,18,1807807999,0.519,0.507
Drop25-Run21-lexicase,4,19,1912346104,0.543,0.532
Drop25-Run21-lexicase,4,20,2014815124,0.554,0.533
Drop25-Run21-lexicase,5,0,0,1.000,0.321
Drop25-Run21-lexicase,5,1,100943798,0.324,0.309
Drop25-Run21-lexicase,5,2,200883780,0.311,0.294
Drop25-Run21-lexicase,5,3,304599556,0.351,0.329
Drop25-Run21-lexicase,5,4,408293492,0.396,0.380
Drop25-Run21-lexicase,5,5,509052644,0.426,0.405
Drop25-Run21-lexicase,5,6,610179737,0.472,0.453
Drop25-Run21-lexicase,5,7,708378377,0.466,0.439
Drop25-Run21-lexicase,5,8,806708636,0.497,0.483
Drop25-Run21-lexicase,5,9,903495587,0.489,0.477
Drop25-Run21-lexicase,5,10,1001848741,0.512,0.494
Drop25-Run21-lexicase,5,11,1098439634,0.514,0.494
Drop25-Run21-lexicase,5,12,1196441069,0.498,0.484
Drop25-Run21-lexicase,5,13,1293085346,0.479,0.467
Drop25-Run21-lexicase,5,14,1389763707,0.493,0.477
Drop25-Run21-lexicase,5,15,1484544577,0.510,0.500
Drop25-Run21-lexicase,5,16,1581937070,0.563,0.545
Drop25-Run21-lexicase,5,17,1679711423,0.558,0.545
Drop25-Run21-lexicase,5,18,1781310032,0.561,0.539
Drop25-Run21-lexicase,5,19,1882572931,0.415,0.404
Drop25-Run21-lexicase,5,20,1984739756,0.435,0.420
Drop25-Run21-lexicase,6,0,0,1.000,0.321
Drop25-Run21-lexicase,6,1,101103449,0.291,0.269
Drop25-Run21-lexicase,6,2,196652065,0.275,0.264
Drop25-Run21-lexicase,6,3,293262415,0.270,0.260
Drop25-Run21-lexicase,6,4,392532995,0.277,0.264
Drop25-Run21-lexicase,6,5,491655357,0.274,0.263
Drop25-Run21-lexicase,6,6,589494052,0.293,0.280
Drop25-Run21-lexicase,6,7,687682184,0.305,0.286
Drop25-Run21-lexicase,6,8,785481945,0.273,0.259
Drop25-Run21-lexicase,6,9,884754765,0.324,0.314
Drop25-Run21-lexicase,6,10,987092913,0.365,0.355
Drop25-Run21-lexicase,6,11,1097189852,0.468,0.443
Drop25-Run21-lexicase,6,12,1208861349,0.537,0.505
Drop25-Run21-lexicase,6,13,1318956802,0.493,0.464
Drop25-Run21-lexicase,6,14,1428414702,0.467,0.444
Drop25-Run21-lexicase,6,15,1537642666,0.513,0.492
Drop25-Run21-lexicase,6,16,1646769544,0.501,0.477
Drop25-Run21-lexicase,6,17,1757393210,0.539,0.518
Drop25-Run21-lexicase,6,18,1867788404,0.525,0.506
Drop25-Run21-lexicase,6,19,1977929140,0.562,0.530
Drop25-Run21-lexicase,6,20,2089515187,0.529,0.504
Drop25-Run21-lexicase,7,0,0,1.000,0.321
Drop25-Run21-lexicase,7,1,100520430,0.304,0.279
Drop25-Run21-lexicase,7,2,197752926,0.248,0.233
Drop25-Run21-lexicase,7,3,296690696,0.253,0.242
Drop25-Run21-lexicase,7,4,393863566,0.247,0.235
Drop25-Run21-lexicase,7,5,492731173,0.225,0.214
Drop25-Run21-lexicase,7,6,588589301,0.242,0.227
Drop25-Run21-lexicase,7,7,686477013,0.258,0.245
Drop25-Run21-lexicase,7,8,782870206,0.254,0.241
Drop25-Run21-lexicase,7,9,882031395,0.252,0.237
Drop25-Run21-lexicase,7,10,979014805,0.233,0.212
Drop25-Run21-lexicase,7,11,1075466633,0.243,0.232
Drop25-Run21-lexicase,7,12,1171987521,0.248,0.235
Drop25-Run21-lexicase,7,13,1271476808,0.247,0.235
Drop25-Run21-lexicase,7,14,1369178863,0.244,0.232
Drop25-Run21-lexicase,7,15,1469634923,0.240,0.224
Drop25-Run21-lexicase,7,16,1571717645,0.248,0.241
Drop25-Run21-lexicase,7,17,1671729763,0.263,0.257
Drop25-Run21-lexicase,7,18,1771172186,0.295,0.274
Drop25-Run21-lexicase,7,19,1871464367,0.276,0.264
Drop25-Run21-lexicase,7,20,1972440814,0.287,0.269
Drop25-Run21-lexicase,8,0,0,1.000,0.321
Drop25-Run21-lexicase,8,1,99123302,0.329,0.310
Drop25-Run21-lexicase,8,2,192880292,0.234,0.225
Drop25-Run21-lexicase,8,3,288544677,0.215,0.211
Drop25-Run21-lexicase,8,4,381613186,0.222,0.213
Drop25-Run21-lexicase,8,5,475883977,0.306,0.300
Drop25-Run21-lexicase,8,6,571987433,0.398,0.378
Drop25-Run21-lexicase,8,7,669780431,0.454,0.436
Drop25-Run21-lexicase,8,8,766602282,0.471,0.451
Drop25-Run21-lexicase,8,9,862336915,0.496,0.472
Drop25-Run21-lexicase,8,10,956446867,0.564,0.527
Drop25-Run21-lexicase,8,11,1049878853,0.492,0.473
Drop25-Run21-lexicase,8,12,1144906416,0.510,0.489
Drop25-Run21-lexicase,8,13,1239307591,0.535,0.510
Drop25-Run21-lexicase,8,14,1333772993,0.522,0.495
Drop25-Run21-lexicase,8,15,1428581556,0.535,0.516
Drop25-Run21-lexicase,8,16,1523334684,0.540,0.516
Drop25-Run21-lexicase,8,17,1618999563,0.563,0.545
Drop25-Run21-lexicase,8,18,1713294293,0.560,0.527
Drop25-Run21-lexicase,8,19,1806905090,0.543,0.511
Drop25-Run21-lexicase,8,20,1898355431,0.539,0.511
Drop25-Run21-lexicase,9,0,0,1.000,0.321
Drop25-Run21-lexicase,9,1,101251821,0.284,0.266
Drop25-Run21-lexicase,9,2,195850335,0.262,0.248
Drop25-Run21-lexicase,9,3,289681656,0.227,0.218
Drop25-Run21-lexicase,9,4,383217445,0.243,0.231
Drop25-Run21-lexicase,9,5,478743578,0.253,0.246
Drop25-Run21-lexicase,9,6,572594850,0.240,0.228
Drop25-Run21-lexicase,9,7,665216153,0.224,0.214
Drop25-Run21-lexicase,9,8,759502132,0.225,0.221
Drop25-Run21-lexicase,9,9,852023982,0.242,0.230
Drop25-Run21-lexicase,9,10,943822369,0.246,0.235
Drop25-Run21-lexicase,9,11,1036606676,0.256,0.247
Drop25-Run21-lexicase,9,12,1129589858,0.250,0.239
Drop25-Run21-lexicase,9,13,1219748059,0.251,0.239
Drop25-Run21-lexicase,9,14,1313492796,0.254,0.248
Drop25-Run21-lexicase,9,15,1407569538,0.267,0.255
Drop25-Run21-lexicase,9,16,1499525998,0.257,0.249
Drop25-Run21-lexicase,9,17,1591537744,0.248,0.238
Drop25-Run21-lexicase,9,18,1682071258,0.268,0.257
Drop25-Run21-lexicase,9,19,1773304645,0.263,0.255
Drop25-Run21-lexicase,9,20,1865609328,0.280,0.272
Drop25-Run21-lexicase,10,0,0,1.000,0.321
Drop25-Run21-lexicase,10,1,100634660,0.330,0.310
Drop25-Run21-lexicase,10,2,193022475,0.266,0.256
Drop25-Run21-lexicase,10,3,288955356,0.285,0.273
Drop25-Run21-lexicase,10,4,383969956,0.296,0.279
Drop25-Run21-lexicase,10,5,477362402,0.285,0.275
Drop25-Run21-lexicase,10,6,571601080,0.320,0.313
Drop25-Run21-lexicase,10,7,666786160,0.339,0.335
Drop25-Run21-lexicase,10,8,763143167,0.363,0.354
