method,trial,generation,ptevals,behavioral_diversity,error_vector_diversity
Div90-Run10-lexicase,0,0,0,1.000,0.903
Div90-Run10-lexicase,0,1,32071113,0.882,0.878
Div90-Run10-lexicase,0,2,66080690,0.880,0.874
Div90-Run10-lexicase,0,3,98376903,0.891,0.889
Div90-Run10-lexicase,0,4,129119126,0.902,0.902
Div90-Run10-lexicase,0,5,158832314,0.886,0.885
Div90-Run10-lexicase,0,6,186678576,0.907,0.906
Div90-Run10-lexicase,0,7,215252138,0.894,0.893
Div90-Run10-lexicase,0,8,243574085,0.896,0.892
Div90-Run10-lexicase,0,9,272945456,0.904,0.901
Div90-Run10-lexicase,0,10,301057058,0.916,0.914
Div90-Run10-lexicase,0,11,330288376,0.916,0.915
Div90-Run10-lexicase,0,12,360541152,0.929,0.929
Div90-Run10-lexicase,0,13,390228071,0.909,0.907
Div90-Run10-lexicase,0,14,419059817,0.914,0.913
Div90-Run10-lexicase,0,15,448218622,0.910,0.909
Div90-Run10-lexicase,0,16,477206633,0.906,0.906
Div90-Run10-lexicase,0,17,505887268,0.925,0.925
Div90-Run10-lexicase,0,18,534480599,0.901,0.901
Div90-Run10-lexicase,0,19,563134362,0.921,0.921
Div90-Run10-lexicase,0,20,592351322,0.937,0.936
Div90-Run10-lexicase,1,0,0,1.000,0.903
Div90-Run10-lexicase,1,1,34003608,0.900,0.898
Div90-Run10-lexicase,1,2,66569789,0.878,0.876
Div90-Run10-lexicase,1,3,99716752,0.881,0.880
Div90-Run10-lexicase,1,4,130738337,0.888,0.887
Div90-Run10-lexicase,1,5,160801356,0.887,0.886
Div90-Run10-lexicase,1,6,192813517,0.883,0.879
Div90-Run10-lexicase,1,7,224653113,0.904,0.901
Div90-Run10-lexicase,1,8,254392188,0.913,0.911
Div90-Run10-lexicase,1,9,282962462,0.878,0.876
Div90-Run10-lexicase,1,10,312233257,0.897,0.893
Div90-Run10-lexicase,1,11,341734181,0.903,0.899
Div90-Run10-lexicase,1,12,371816573,0.905,0.905
Div90-Run10-lexicase,1,13,403341509,0.898,0.896
Div90-Run10-lexicase,1,14,434040466,0.901,0.898
Div90-Run10-lexicase,1,15,464031499,0.897,0.896
Div90-Run10-lexicase,1,16,493424991,0.919,0.918
Div90-Run10-lexicase,1,17,523450929,0.912,0.909
Div90-Run10-lexicase,1,18,552536052,0.915,0.914
Div90-Run10-lexicase,1,19,582093722,0.908,0.907
Div90-Run10-lexicase,1,20,611055590,0.909,0.908
Div90-Run10-lexicase,2,0,0,1.000,0.903
Div90-Run10-lexicase,2,1,33401197,0.879,0.878
Div90-Run10-lexicase,2,2,68158314,0.890,0.887
Div90-Run10-lexicase,2,3,99374398,0.896,0.894
Div90-Run10-lexicase,2,4,130999718,0.923,0.922
Div90-Run10-lexicase,2,5,159950827,0.896,0.895
Div90-Run10-lexicase,2,6,189518836,0.909,0.908
Div90-Run10-lexicase,2,7,219535560,0.900,0.898
Div90-Run10-lexicase,2,8,249451335,0.896,0.896
Div90-Run10-lexicase,2,9,280161056,0.891,0.890
Div90-Run10-lexicase,2,10,311346412,0.884,0.883
Div90-Run10-lexicase,2,11,342010393,0.901,0.899
Div90-Run10-lexicase,2,12,373007477,0.895,0.894
Div90-Run10-lexicase,2,13,403645322,0.908,0.904
Div90-Run10-lexicase,2,14,434869326,0.880,0.877
Div90-Run10-lexicase,2,15,464619446,0.905,0.903
Div90-Run10-lexicase,2,16,493542707,0.904,0.902
Div90-Run10-lexicase,2,17,522130019,0.898,0.895
Div90-Run10-lexicase,2,18,551129652,0.903,0.902
Div90-Run10-lexicase,2,19,580237246,0.884,0.884
Div90-Run10-lexicase,2,20,608819961,0.879,0.878
Div90-Run10-lexicase,3,0,0,1.000,0.903
Div90-Run10-lexicase,3,1,33548001,0.887,0.885
Div90-Run10-lexicase,3,2,64081448,0.893,0.893
Div90-Run10-lexicase,3,3,95586925,0.887,0.887
Div90-Run10-lexicase,3,4,127472561,0.911,0.910
Div90-Run10-lexicase,3,5,162600617,0.897,0.895
Div90-Run10-lexicase,3,6,194434768,0.882,0.879
Div90-Run10-lexicase,3,7,227081051,0.893,0.891
Div90-Run10-lexicase,3,8,259607338,0.895,0.894
Div90-Run10-lexicase,3,9,293047487,0.898,0.897
Div90-Run10-lexicase,3,10,326067523,0.885,0.884
Div90-Run10-lexicase,3,11,359698085,0.868,0.867
Div90-Run10-lexicase,3,12,392084129,0.880,0.880
Div90-Run10-lexicase,3,13,423894544,0.904,0.902
Div90-Run10-lexicase,3,14,456394142,0.865,0.863
Div90-Run10-lexicase,3,15,486788741,0.885,0.884
Div90-Run10-lexicase,3,16,517188185,0.867,0.867
Div90-Run10-lexicase,3,17,549218638,0.896,0.896
Div90-Run10-lexicase,3,18,580810561,0.880,0.879
Div90-Run10-lexicase,3,19,613470246,0.882,0.882
Div90-Run10-lexicase,3,20,644400252,0.887,0.887
Div90-Run10-lexicase,4,0,0,1.000,0.903
Div90-Run10-lexicase,4,1,33620157,0.897,0.895
Div90-Run10-lexicase,4,2,63297641,0.899,0.898
Div90-Run10-lexicase,4,3,93351481,0.899,0.895
Div90-Run10-lexicase,4,4,123729876,0.873,0.872
Div90-Run10-lexicase,4,5,154213039,0.893,0.892
Div90-Run10-lexicase,4,6,184883708,0.898,0.895
Div90-Run10-lexicase,4,7,215631747,0.898,0.898
Div90-Run10-lexicase,4,8,244848688,0.906,0.906
Div90-Run10-lexicase,4,9,274132173,0.875,0.874
Div90-Run10-lexicase,4,10,304828740,0.883,0.880
Div90-Run10-lexicase,4,11,335640128,0.896,0.896
Div90-Run10-lexicase,4,12,365964457,0.901,0.901
Div90-Run10-lexicase,4,13,395804318,0.883,0.883
Div90-Run10-lexicase,4,14,425851044,0.901,0.900
Div90-Run10-lexicase,4,15,455395473,0.891,0.889
Div90-Run10-lexicase,4,16,484619480,0.917,0.916
Div90-Run10-lexicase,4,17,513205327,0.880,0.877
Div90-Run10-lexicase,4,18,542176365,0.898,0.894
