method,trial,generation,ptevals,behavioral_diversity,error_vector_diversity
Div90-Run6-lexicase,0,0,0,1.000,0.906
Div90-Run6-lexicase,0,1,77810434,0.896,0.895
Div90-Run6-lexicase,0,2,163295602,0.889,0.888
Div90-Run6-lexicase,0,3,253369762,0.878,0.872
Div90-Run6-lexicase,0,4,347815238,0.899,0.895
Div90-Run6-lexicase,0,5,443685138,0.895,0.893
Div90-Run6-lexicase,0,6,541516569,0.904,0.899
Div90-Run6-lexicase,0,7,638976931,0.908,0.907
Div90-Run6-lexicase,0,8,737070750,0.911,0.908
Div90-Run6-lexicase,0,9,834144648,0.918,0.916
Div90-Run6-lexicase,0,10,930654789,0.937,0.936
Div90-Run6-lexicase,0,11,1025246967,0.923,0.921
Div90-Run6-lexicase,0,12,1118477709,0.939,0.939
Div90-Run6-lexicase,0,13,1204698277,0.934,0.932
Div90-Run6-lexicase,0,14,1285938781,0.918,0.915
Div90-Run6-lexicase,0,15,1363553010,0.929,0.926
Div90-Run6-lexicase,0,16,1439613833,0.951,0.949
Div90-Run6-lexicase,0,17,1513000533,0.946,0.944
Div90-Run6-lexicase,0,18,1582740075,0.957,0.954
Div90-Run6-lexicase,0,19,1649913145,0.954,0.952
Div90-Run6-lexicase,0,20,1712391528,0.945,0.944
Div90-Run6-lexicase,1,0,0,1.000,0.906
Div90-Run6-lexicase,1,1,77234687,0.903,0.902
Div90-Run6-lexicase,1,2,162355835,0.910,0.909
Div90-Run6-lexicase,1,3,251857793,0.915,0.914
Div90-Run6-lexicase,1,4,343199925,0.904,0.903
Div90-Run6-lexicase,1,5,434538539,0.915,0.915
Div90-Run6-lexicase,1,6,526622858,0.925,0.923
Div90-Run6-lexicase,1,7,619164967,0.920,0.919
Div90-Run6-lexicase,1,8,714580274,0.929,0.926
Div90-Run6-lexicase,1,9,809824516,0.923,0.920
Div90-Run6-lexicase,1,10,908014925,0.933,0.932
Div90-Run6-lexicase,1,11,1005452547,0.921,0.920
Div90-Run6-lexicase,1,12,1104497241,0.932,0.931
Div90-Run6-lexicase,1,13,1201312187,0.938,0.936
Div90-Run6-lexicase,1,14,1295627295,0.943,0.942
Div90-Run6-lexicase,1,15,1388736287,0.933,0.930
Div90-Run6-lexicase,1,16,1481056732,0.936,0.935
Div90-Run6-lexicase,1,17,1572155572,0.931,0.930
Div90-Run6-lexicase,1,18,1662823463,0.939,0.939
Div90-Run6-lexicase,1,19,1753564068,0.941,0.938
Div90-Run6-lexicase,1,20,1844070468,0.949,0.949
Div90-Run6-lexicase,2,0,0,1.000,0.906
Div90-Run6-lexicase,2,1,79428980,0.898,0.898
Div90-Run6-lexicase,2,2,165666520,0.901,0.898
Div90-Run6-lexicase,2,3,255427376,0.905,0.905
Div90-Run6-lexicase,2,4,347373230,0.924,0.923
Div90-Run6-lexicase,2,5,437911727,0.921,0.921
Div90-Run6-lexicase,2,6,529200522,0.922,0.921
Div90-Run6-lexicase,2,7,620847278,0.918,0.918
Div90-Run6-lexicase,2,8,708167666,0.922,0.918
Div90-Run6-lexicase,2,9,795642854,0.923,0.921
Div90-Run6-lexicase,2,10,881743009,0.916,0.914
Div90-Run6-lexicase,2,11,969263597,0.940,0.938
Div90-Run6-lexicase,2,12,1057146919,0.915,0.914
Div90-Run6-lexicase,2,13,1148834023,0.933,0.932
Div90-Run6-lexicase,2,14,1239378386,0.932,0.931
Div90-Run6-lexicase,2,15,1332360357,0.924,0.922
Div90-Run6-lexicase,2,16,1426466663,0.940,0.938
Div90-Run6-lexicase,2,17,1520696507,0.936,0.933
Div90-Run6-lexicase,2,18,1614989739,0.951,0.950
Div90-Run6-lexicase,2,19,1709946237,0.946,0.943
Div90-Run6-lexicase,2,20,1803376453,0.946,0.943
Div90-Run6-lexicase,3,0,0,1.000,0.906
Div90-Run6-lexicase,3,1,77801692,0.899,0.891
Div90-Run6-lexicase,3,2,158895913,0.915,0.914
Div90-Run6-lexicase,3,3,243587052,0.903,0.902
Div90-Run6-lexicase,3,4,330751255,0.895,0.895
Div90-Run6-lexicase,3,5,419490853,0.904,0.902
Div90-Run6-lexicase,3,6,509698992,0.909,0.906
Div90-Run6-lexicase,3,7,603350338,0.881,0.880
Div90-Run6-lexicase,3,8,694522082,0.905,0.903
Div90-Run6-lexicase,3,9,787728483,0.921,0.918
Div90-Run6-lexicase,3,10,879601245,0.897,0.895
Div90-Run6-lexicase,3,11,972335242,0.913,0.908
Div90-Run6-lexicase,3,12,1065504128,0.902,0.898
Div90-Run6-lexicase,3,13,1162315190,0.920,0.918
