method,trial,generation,ptevals,behavioral_diversity,error_vector_diversity
Div15-Run1-lexicase,0,0,0,1.000,0.117
Div15-Run1-lexicase,0,1,32511457,0.225,0.225
Div15-Run1-lexicase,0,2,68902642,0.318,0.316
Div15-Run1-lexicase,0,3,100093038,0.374,0.374
Div15-Run1-lexicase,0,4,136485226,0.445,0.445
Div15-Run1-lexicase,0,5,171824187,0.538,0.538
Div15-Run1-lexicase,0,6,207237187,0.586,0.584
Div15-Run1-lexicase,0,7,238178259,0.596,0.596
Div15-Run1-lexicase,0,8,266080643,0.622,0.622
Div15-Run1-lexicase,0,9,291823210,0.633,0.633
Div15-Run1-lexicase,0,10,316134451,0.620,0.620
Div15-Run1-lexicase,0,11,337037825,0.601,0.601
Div15-Run1-lexicase,0,12,355866164,0.637,0.637
Div15-Run1-lexicase,0,13,376627474,0.170,0.169
Div15-Run1-lexicase,0,14,395794261,0.210,0.208
Div15-Run1-lexicase,0,15,413644791,0.223,0.222
Div15-Run1-lexicase,0,16,432856091,0.229,0.228
Div15-Run1-lexicase,0,17,449830206,0.253,0.249
Div15-Run1-lexicase,0,18,468999842,0.264,0.263
Div15-Run1-lexicase,0,19,488212219,0.260,0.256
Div15-Run1-lexicase,0,20,507424094,0.321,0.320
Div15-Run1-lexicase,1,0,0,1.000,0.117
Div15-Run1-lexicase,1,1,30267956,0.246,0.244
Div15-Run1-lexicase,1,2,62219715,0.340,0.340
Div15-Run1-lexicase,1,3,86579131,0.470,0.470
Div15-Run1-lexicase,1,4,114152265,0.517,0.517
Div15-Run1-lexicase,1,5,142121709,0.541,0.539
Div15-Run1-lexicase,1,6,169289931,0.580,0.580
Div15-Run1-lexicase,1,7,199354419,0.595,0.595
Div15-Run1-lexicase,1,8,229242929,0.633,0.633
Div15-Run1-lexicase,1,9,262502230,0.671,0.670
Div15-Run1-lexicase,1,10,297738056,0.676,0.675
Div15-Run1-lexicase,1,11,333444189,0.635,0.632
Div15-Run1-lexicase,1,12,358343093,0.349,0.346
Div15-Run1-lexicase,1,13,383332947,0.327,0.321
Div15-Run1-lexicase,1,14,406339490,0.291,0.290
Div15-Run1-lexicase,1,15,431127930,0.293,0.291
Div15-Run1-lexicase,1,16,454540803,0.310,0.306
Div15-Run1-lexicase,1,17,478795692,0.316,0.314
Div15-Run1-lexicase,1,18,505559021,0.318,0.317
Div15-Run1-lexicase,1,19,534820353,0.341,0.337
Div15-Run1-lexicase,1,20,562313160,0.332,0.332
Div15-Run1-lexicase,2,0,0,1.000,0.117
Div15-Run1-lexicase,2,1,30505625,0.212,0.210
Div15-Run1-lexicase,2,2,55854616,0.326,0.326
Div15-Run1-lexicase,2,3,79421175,0.446,0.444
Div15-Run1-lexicase,2,4,104510230,0.535,0.534
Div15-Run1-lexicase,2,5,127410283,0.576,0.576
Div15-Run1-lexicase,2,6,149799212,0.600,0.599
Div15-Run1-lexicase,2,7,168368367,0.599,0.598
Div15-Run1-lexicase,2,8,189263720,0.620,0.618
Div15-Run1-lexicase,2,9,210177173,0.641,0.640
Div15-Run1-lexicase,2,10,230949331,0.630,0.630
Div15-Run1-lexicase,2,11,257392159,0.618,0.618
Div15-Run1-lexicase,2,12,286978537,0.610,0.609
Div15-Run1-lexicase,2,13,313920382,0.611,0.611
Div15-Run1-lexicase,2,14,341784365,0.670,0.668
Div15-Run1-lexicase,2,15,367662700,0.658,0.657
