method,trial,generation,ptevals,behavioral_diversity,error_vector_diversity
Drop25-Run0-lexicase,0,0,0,1.000,0.371
Drop25-Run0-lexicase,0,1,71560224,0.402,0.398
Drop25-Run0-lexicase,0,2,142115913,0.422,0.419
Drop25-Run0-lexicase,0,3,212418240,0.444,0.438
Drop25-Run0-lexicase,0,4,281927802,0.472,0.469
Drop25-Run0-lexicase,0,5,351176405,0.483,0.477
Drop25-Run0-lexicase,0,6,419440733,0.494,0.491
Drop25-Run0-lexicase,0,7,487947834,0.508,0.507
Drop25-Run0-lexicase,0,8,555774885,0.499,0.494
Drop25-Run0-lexicase,0,9,624118502,0.526,0.524
Drop25-Run0-lexicase,0,10,692707195,0.533,0.529
Drop25-Run0-lexicase,0,11,760196361,0.529,0.524
Drop25-Run0-lexicase,0,12,827534390,0.520,0.515
Drop25-Run0-lexicase,0,13,893444703,0.521,0.520
Drop25-Run0-lexicase,0,14,947325964,0.567,0.564
Drop25-Run0-lexicase,0,15,1000110146,0.564,0.557
Drop25-Run0-lexicase,0,16,1051475177,0.553,0.548
Drop25-Run0-lexicase,0,17,1105461396,0.614,0.604
Drop25-Run0-lexicase,0,18,1159465971,0.595,0.587
Drop25-Run0-lexicase,0,19,1213548933,0.593,0.582
Drop25-Run0-lexicase,0,20,1269273876,0.591,0.580
Drop25-Run0-lexicase,1,0,0,1.000,0.371
Drop25-Run0-lexicase,1,1,72113751,0.409,0.406
Drop25-Run0-lexicase,1,2,143783458,0.395,0.392
Drop25-Run0-lexicase,1,3,216157533,0.415,0.411
Drop25-Run0-lexicase,1,4,288037224,0.433,0.427
Drop25-Run0-lexicase,1,5,361837296,0.402,0.402
Drop25-Run0-lexicase,1,6,437892163,0.424,0.421
Drop25-Run0-lexicase,1,7,520541637,0.430,0.423
Drop25-Run0-lexicase,1,8,602417990,0.402,0.395
Drop25-Run0-lexicase,1,9,684729794,0.439,0.433
Drop25-Run0-lexicase,1,10,765385697,0.424,0.419
Drop25-Run0-lexicase,1,11,846525223,0.434,0.425
Drop25-Run0-lexicase,1,12,927058437,0.477,0.471
Drop25-Run0-lexicase,1,13,1009042964,0.466,0.456
Drop25-Run0-lexicase,1,14,1090488055,0.455,0.449
Drop25-Run0-lexicase,1,15,1173150818,0.470,0.462
Drop25-Run0-lexicase,1,16,1255707271,0.465,0.455
Drop25-Run0-lexicase,1,17,1336759694,0.460,0.448
Drop25-Run0-lexicase,1,18,1415014849,0.485,0.480
Drop25-Run0-lexicase,1,19,1494360224,0.488,0.482
Drop25-Run0-lexicase,1,20,1567622651,0.544,0.536
Drop25-Run0-lexicase,2,0,0,1.000,0.371
Drop25-Run0-lexicase,2,1,72450478,0.404,0.403
Drop25-Run0-lexicase,2,2,143027352,0.389,0.383
Drop25-Run0-lexicase,2,3,213468883,0.420,0.415
Drop25-Run0-lexicase,2,4,285621291,0.455,0.450
Drop25-Run0-lexicase,2,5,355237532,0.447,0.443
